Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"Tecno Spark 8 (Atlantic Blue, 64 GB)","9,220",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.66 cm (6.56 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4.1
"Tecno Spark 8 (Atlantic Blue, 32 GB)","9,899",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A25 Processor,5000 mAh Battery,4.2
"Tecno Spark 8 Pro (Turquoise Cyan, 64 GB)","9,899",4 GB RAM | 64 GB ROM,48MP Rear Camera,17.27 cm (6.8 inch) Display,12 Months warranty,5000 mAh Battery,4.3
"Tecno Spark 8 Pro (Interstellar Black, 64 GB)","9,750",4 GB RAM | 64 GB ROM,48MP Rear Camera,17.27 cm (6.8 inch) Display,12 Months warranty,5000 mAh Battery,4.3
"realme Narzo 30A (Laser Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 8MP Front Camera,16.54 cm (6.51 inch) HD+ Display,MediaTek Helio G85 Processor,6000 mAh Battery,4.4
"Redmi 9 (Sporty Orange, 64 GB)","9,999",4 GB RAM | 64 GB ROM,13MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,4.2
"OPPO A16k (Blue, 32 GB)","9,780",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 (MT6765) Processor,4230 mAh Battery,4.2
"SAMSUNG Galaxy M02 (Gray, 32 GB)","9,490",2 GB RAM | 32 GB ROM,13MP + 2MP | 5MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,MediaTek MT6739 Processor,5000 mAh Battery,4
"Nokia C21 Plus (Dark Cyan, 64 GB)","9,998",4 GB RAM | 64 GB ROM,13MP + 2MP | 5MP Front Camera,16.69 cm (6.57 inch) HD+ Display,Octa Core Processor,5050 mAh Lithium Polymer Battery,3.7
"realme C25 (Watery Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G70 Processor,6000 mAh Battery,4.4
"Nokia G11 Plus (Grey, 64 GB)","9,990",4 GB RAM | 64 GB ROM,50MP + 2MP | 8MP + 2MP Dual Front Camera,16.55 cm (6.517 inch) HD+ Display,Octa Core Processor Processor,5000 mAh Lithium Polymer Battery,3.6
"Tecno Spark 8P (Iris Purple, 64 GB)","9,240",4 GB RAM | 64 GB ROM | Expandable Upto 512 MB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,MediaTek Helio G85 Processor,5000 mAh Battery,4.1
"SAMSUNG Galaxy M02 (Black, 32 GB)","9,499",3 GB RAM | 32 GB ROM,13MP + 2MP | 5MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,MediaTek MT6739 Processor,5000 mAh Battery,4
"Tecno Spark 8T (Atlantic Blue, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,4.2
"SAMSUNG Galaxy A03s (White, 64 GB)","9,990",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio P35 (MT6765) Processor,5000 mAh Lithium-ion Battery,4
"Tecno Spark 8C (Diamond Grey, 64 GB)","9,199",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,4.1
"Micromax IN 1 (Purple, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,48MP + 2MP + 2MP | 8MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,MediaTek Helio G80 Processor,5000 mAh Lithium Polymer Battery,4.1
"MOTOROLA G8 Power Lite (Arctic Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Processor,5000 mAh Lithium-ion Battery,4.3
Cellecor E3,"1,176",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.8MP Rear Camera,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty,1000 mAh Battery,3.9
"LAVA Z4 (Aqua Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 5MP + 2MP | 16MP Front Camera,16.55 cm (6.517 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Li-Polymer Battery,3.9
"Tecno Spark Power 2 Air (Cosmic Shine, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP + AI Lens Quad AI Camera | 8MP Front Camera,17.78 cm (7 inch) HD+ Display,MediaTek Helio A22 Quad Core Processor,6000 mAh Lithium-ion Polymer Battery,4.3
"LAVA Blaze (Glass Red, 64 GB)","9,199",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek G37 Processor,5000 mAh Battery,5
"Infinix Hot 8 (Cosmic Purple, 64 GB)","9,999",4 GB RAM | 64 GB ROM,13MP + 2MP + Low Light Sensor | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio P22 (MTK6762) Processor,5000 mAh Li-ion Polymer Battery,4.5
"vivo Y91i (Ocean Blue, 32 GB)","9,990",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MTK Helio P22 Processor,4030 mAh Li-ion Battery,4.3
"Nokia C 30 (Green, 32 GB)","9,199",3 GB RAM | 32 GB ROM,13MP + 2MP Dual Rear Camera | 5MP Front Camera | 5MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Spreadtrum SC9863A Processor,6000 mAh Li-Polymer Battery,3.9
"Moto E4 Plus (Oxford Blue, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) HD Display,MediaTek MTK6737 1.3GHz Processor,5000 mAh Li-Ion Polymer Battery,4.1
"Moto E4 Plus (Fine Gold, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) HD Display,MediaTek MTK6737 1.3GHz Processor,5000 mAh Li-Ion Polymer Battery,4.1
"Moto E4 Plus (Iron Gray, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) HD Display,MediaTek MTK6737 1.3GHz Processor,5000 mAh Li-Ion Polymer Battery,4.1
"Nokia 2.4 (Charcoal Grey, 64 GB)","9,980",3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P22 Processor,4500 mAh Li-ion Polymer Battery,4.1
"SAMSUNG Galaxy J6 (Black, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,14.22 cm (5.6 inch) HD+ Display,Exynos 7870 Processor,3000 mAh Battery,4.5
"Lenovo K9 (Black, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 5MP | 13MP + 5MP Dual Front Camera,14.48 cm (5.7 inch) HD+ Display,MediaTek P22 Processor,3000 mAh Battery,4.2
"Nokia C31 (Charcoal, 32 GB)","9,900",3 GB RAM | 32 GB ROM,13MP Rear Camera,17.12 cm (6.74 inch) Display,With a 1-year domestic replacement guarantee.,5050 mAh Battery,4.4
"Honor 9N (Sapphire Blue, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 16MP Front Camera,14.83 cm (5.84 inches) Display,Kirin 659 Octa Core Processor,3000 mAh Battery,4.2
"SAMSUNG Galaxy F02s (Diamond Black, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 2MP | 5MP Front Camera,16.55 cm (6.515 inch) HD+ Display,Qualcomm Snapdragon 450 (SDM450-F01) Processor,5000 mAh Lithium-ion Battery,4.5
"SAMSUNG A04 e (Copper, 64 GB)","9,940",3 GB RAM | 64 GB ROM,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek MT6765 Helio P35 (12nm) Processor,5000 mAh Battery,4.2
"realme 3 (Dynamic Black, 64 GB)","9,499",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,4230 mAh Battery,4.3
"SAMSUNG Galaxy F02s (Diamond White, 32 GB)","9,490",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 2MP | 5MP Front Camera,16.55 cm (6.515 inch) HD+ Display,Qualcomm Snapdragon 450 (SDM450-F01) Processor,5000 mAh Lithium-ion Battery,4.2
"realme C15 (Power Silver, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 Processor,6000 mAh Lithium-ion Battery,None
"Lenovo A6 Note (Blue, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,15.5 cm (6.102 inch) HD+ Display,MediaTek P22 Octa Core Processor,4000 mAh Battery,None
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD Display,Mediatek Helio P35 Processor,5000 mAh Lithium-Ion Battery,4.4
"POCO C55 (Cool Blue, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,4.3
"POCO C55 (Power Black, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,4.3
Cellecor E3,"1,176",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.8MP Rear Camera,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty,1000 mAh Battery,3.9
"MOTOROLA e40 (Carbon Gray, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,48MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,UNISOC T700 Processor,5000 mAh Battery,4.2
"POCO C55 (Forest Green, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,4.3
"Infinix Hot 12 (Exploratory Blue, 64 GB)","8,499",4 GB RAM | 64 GB ROM,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Meditek Helio G37 Processor,6000 mAh Lithium-ion Polymer Battery,4.3
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","8,499",4 GB RAM | 64 GB ROM,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Meditek Helio G37 Processor,6000 mAh Lithium-ion Polymer Battery,4.3
"Infinix Hot 12 (7° Purple, 64 GB)","8,499",4 GB RAM | 64 GB ROM,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Meditek Helio G37 Processor,6000 mAh Lithium-ion Polymer Battery,4.3
"Infinix Hot 12 (Polar Black, 64 GB)","8,499",4 GB RAM | 64 GB ROM,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Meditek Helio G37 Processor,6000 mAh Lithium-ion Polymer Battery,4.3
"REDMI A1 (Light Green, 32 GB)","6,231",2 GB RAM | 32 GB ROM,5MP Rear Camera,16.56 cm (6.52 inch) Display,12 months,5000 mAh Battery,4.2
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD Display,Mediatek Helio P35 Processor,5000 mAh Lithium-Ion Battery,4.4
"Infinix HOT 20 Play (Racing Black, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,4.4
"Infinix HOT 20 Play (Luna Blue, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,4.4
"Infinix HOT 20 Play (Aurora Green, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,4.4
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,4.4
"REDMI 10A (Slate Grey, 32 GB)","7,999",3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,12 months,5000 mAh Battery,4.1
"realme C33 (Sandy Gold, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T612 Processor,5000 mAh Lithium Ion Battery,4.4
"realme C33 (Night Sea, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T612 Processor,5000 mAh Lithium Ion Battery,4.4
"realme C33 (Aqua Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T612 Processor,5000 mAh Lithium Ion Battery,4.4
"realme C30s (Stripe Blue, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc SC9863A/ Unisoc SC9863A1 Processor,5000 mAh Lithium Ion Battery,4.3
"realme C30s (Stripe Black, 64 GB)","8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc SC9863A/ Unisoc SC9863A1 Processor,5000 mAh Lithium Ion Battery,4.3
"realme C11 2021 (Cool Blue, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,4.3
"realme C11 2021 (Cool Grey, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,4.3
"Infinix HOT 12 Play (Racing Black, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + Depth Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Unisoc T610 Processor,6000 mAh Li-ion Polymer Battery,4.3
"Infinix HOT 12 Play (Horizon Blue, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + Depth Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Unisoc T610 Processor,6000 mAh Li-ion Polymer Battery,4.3
"I Kall Z19Pro (Blue, 64 GB)","8,699",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Octa Core Processor,5000 mAh Battery,3.3
"Infinix HOT 12 Play (Daylight Green, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + Depth Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Unisoc T610 Processor,6000 mAh Li-ion Polymer Battery,4.3
"realme Narzo 50i Prime (Mint Green, 64 GB)","8,980",4 GB RAM | 64 GB ROM,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,Unisoc T612 processor Processor,5000 mAh Battery,4.2
"Redmi 9A Sport (Carbon Black, 32 GB)","7,300",2 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,1 Year Warranty,5000 mAh Battery,4.1
"REDMI A1+ (Light Green, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,4
"realme Narzo 50i Prime (Dark Blue, 64 GB)","8,900",4 GB RAM | 64 GB ROM,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,Unisoc T612 processor Processor,5000 mAh Battery,4.2
"Redmi 9A Sport (Metallic Blue, 32 GB)","7,880",3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,1 Year Warranty,5000 mAh Battery,4.2
"vivo Y01 (Sapphire Blue, 32 GB)","7,999",2 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Lithium Battery,4.2
"realme Narzo 50i Prime (Dark Blue, 32 GB)","7,745",3 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,Unisoc T612 processor Processor,5000 mAh Battery,4.2
"Redmi 9A Sport (Carbon Black, 32 GB)","7,899",3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,1 Year Warranty,5000 mAh Battery,4.1
"itel Vision 3 (Deep Ocean Black, 64 GB)","6,799",3 GB RAM | 64 GB ROM | Expandable Upto 128 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc 9863A Processor,5000 mAh Lithium Polymer Battery,4
"REDMI A1+ (Light Blue, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,4.2
"Tecno Spark 9 (Infinity Black, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio G37 Processor,5000 mAh Battery,4.1
"vivo Y01A (Sapphire Blue, 32 GB)","8,499",2 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Battery,4.3
"Redmi 9A (Sea Blue, 32 GB)","8,190",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4.2
"Tecno Spark 9 (Sky Mirror, 64 GB)","8,998",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio G37 Processor,5000 mAh Battery,3.9
"Tecno Spark 9 (Infinity Black, 64 GB)","8,180",3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio G37 Processor,5000 mAh Battery,4.3
"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)","8,299",3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,8 MP + Depth Lens | 5MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Mediatek Helio G25 Processor,5000 mAh Lithium-ion Polymer Battery,3.9
"Tecno Spark 9 (Sky Mirror, 64 GB)","8,299",3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio G37 Processor,5000 mAh Battery,4.3
"realme Narzo 50i (Mint Green, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,SC9863A Processor,5000 mAh Battery,4.3
"Redmi 9A (Nature Green, 32 GB)","8,177",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4
"REDMI A1+ (Black, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,None
"REDMI A1+ (Black, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,4
"Redmi 9A (Sea Blue, 32 GB)","8,190",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4.3
"Redmi 9A (Midnight Black, 32 GB)","8,187",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4.3
"Tecno Spark 8C (Diamond Grey, 64 GB)","8,235",3 GB RAM | 64 GB ROM,13MP Rear Camera,16.76 cm (6.6 inch) Display,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,5000 mAh Battery,4.2
"LAVA Blaze (Glass Green, 64 GB)","8,699",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Triple AI Camera + 8MP front camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,4
"LAVA Blaze (Glass Black, 64 GB)","8,699",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Triple AI Camera + 8MP front camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,4
"realme narzo 50i Prime (Mint Green, 32 GB)","8,170",3 GB RAM | 32 GB ROM,8MP Rear Camera,16.51 cm (6.5 inch) Display,Unisoc Tiger T612 (12 nm) Processor,5000 mAh Battery,4.2
"Tecno Spark 7 (Spruce Green, 32 GB)","8,490",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio A25 Processor,6000 mAh Battery,4.4
"Redmi 8A (Midnight Black, 32 GB)","8,790",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,12MP Rear Camera | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,5000 mAh Battery,4.2
"Tecno Spark 7 (Magnet Black, 32 GB)","8,490",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio A25 Processor,6000 mAh Battery,4.4
"Redmi 6 (Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3000 mAh Lithium-polymer Battery,4.2
"Redmi 8A Dual (Sky White, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,5000 mAh Lithium Polymer Battery,4.1
"SAMSUNG Galaxy A03 Core (Green, 32 GB)","8,490",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,5000 mAh Battery,4.4
"Redmi 6 (Gold, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3000 mAh Lithium-polymer Battery,4.5
"realme 3i (Diamond Black, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P60 Octa Core 2.0 GHz Processor,4230 mAh Battery,4.5
"realme 3i (Diamond Blue, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P60 Octa Core 2.0 GHz Processor,4230 mAh Battery,4.2
"Tecno Spark Go 2021 (Galaxy Blue, 32 GB)","8,288",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Quad Core Processor,5000 mAh Battery,4.4
"Redmi 6 (Black, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3000 mAh Lithium-polymer Battery,4.4
"Redmi 6 (Black, 64 GB)","8,998",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3000 mAh Lithium-polymer Battery,4.4
"Redmi 6 (Rose Gold, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3000 mAh Lithium-polymer Battery,4.4
