Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"Infinix Hot 12 Pro (Racing Black, 64 GB)","9,499",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50 MP + Depth Lens | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc T616 Processor,5000 mAh Lithium-ion Polymer Battery,4.2
"MOTOROLA g31 (Baby Blue, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 13MP Front Camera,16.26 cm (6.4 Inch) Full HD+ Display,Mediatek Helio G85 Processor,5000 mAh LiPo Battery,4.2
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","8,422",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Processor,5000 mAh Battery,4.1
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","8,482",4 GB RAM | 64 GB ROM,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Processor,5000 mAh Battery,4.1
"vivo Y02 (Orchid Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,MediaTek P22 Processor,5000 mAh Battery,4.3
"SAMSUNG Galaxy A03 Core (Mint, 32 GB)","6,813",2 GB RAM | 32 GB ROM,8MP Rear Camera,16.51 cm (6.5 inch) Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,5000 mAh Battery,4.1
"vivo Y02 (Cosmic Grey, 32 GB)","8,999",3 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,MediaTek P22 Processor,5000 mAh Battery,4.3
"vivo Y16 (Steller Black, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Lithium Battery,4.3
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","6,715",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Octa Core Processor,5000 mAh Li-ion Battery,4.1
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","9,869",4 GB RAM | 128 GB ROM,13MP + 2MP,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Processor,5000 mAh Battery,4.1
"SAMSUNG Galaxy M04 (Light Green, 128 GB)","9,965",4 GB RAM | 128 GB ROM,13MP + 2MP,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Processor,5000 mAh Battery,4.1
"MOTOROLA e22s (Arctic Blue, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio G37 Processor,5000 mAh Lithium Polymer Battery,3.8
"vivo Y15c (Wave Green, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 8MP Front Camera,16.54 cm (6.51 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Lithium Battery,4.2
"realme C31 (Light Silver, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,Unisoc T612 Processor,5000 mAh Battery,4.4
"SAMSUNG Galaxy A03 (Red, 32 GB)","7,990",3 GB RAM | 32 GB ROM,48MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc UMS9230 Processor,5000 mAh Lithium Ion Battery,4.1
"Infinix Hot 11 (Silver Wave, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + Depth Lens | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,MediaTek Helio G70 Processor,5200 mAh Li-ion Polymer Battery,4.3
"Infinix Hot 11 (Emerald Green, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + Depth Lens | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,MediaTek Helio G70 Processor,5200 mAh Li-ion Polymer Battery,4.3
"Tecno Spark 8 (Turquoise Cyan, 64 GB)","9,249",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.66 cm (6.56 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4.1
"REDMI 9 Activ (Metallic Purple, 64 GB)","9,190",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,12 months,5000 mAh Battery,4.2
"realme C31 (Light Silver, 32 GB)","9,299",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,Unisoc T612 Processor,5000 mAh Battery,4.5
"REDMI 9 Activ (Carbon Black, 64 GB)","9,150",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,5000 mAh Lithium Polymer Battery,4.2
"vivo Y01 (Elegant Black, 32 GB)","7,999",2 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Lithium Battery,4.2
"realme C31 (Dark Green, 32 GB)","9,299",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,Unisoc T612 Processor,5000 mAh Battery,4.5
"realme C21 (Cross Blue, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,4.4
"Tecno Spark 9 (Sky Mirror, 128 GB)","9,899",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio G37 Processor,5000 mAh Battery,4.1
"OPPO A16E (White, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio P22 Processor,4230 mAh Battery,4.3
"realme Narzo 50i (Carbon Black, 64 GB)","9,899",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,SC9863A Processor,5000 mAh Battery,4.3
